====== cProfile: ./utility/ias_client/cprof_ias_client.py ======

127.0.0.1 - - [03/May/2018 07:27:30] "POST /attestation/sgx/v2/report HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2018 07:27:30] "GET /attestation/sgx/v2/sigrl/gid HTTP/1.1" 200 -
         13991 function calls (13588 primitive calls) in 0.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.002    0.001 poolmanager.py:93(clear)
        7    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 decoder.py:334(decode)
        2    0.000    0.000    0.000    0.000 parse.py:670(quote)
        2    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
        2    0.000    0.000    0.000    0.000 models.py:162(register_hook)
        6    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 cookies.py:109(info)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        2    0.000    0.000    0.000    0.000 connection.py:150(_prepare_conn)
        2    0.000    0.000    0.000    0.000 models.py:53(path_url)
        8    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 structures.py:62(__len__)
        2    0.000    0.000    0.001    0.001 connection.py:161(connect)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:28(<module>)
        2    0.000    0.000    0.001    0.000 connection.py:123(_new_conn)
        1    0.000    0.000    0.000    0.000 euckrprober.py:28(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:28(<module>)
        4    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
        2    0.000    0.000    0.000    0.000 message.py:452(items)
        2    0.000    0.000    0.003    0.001 poolmanager.py:130(connection_from_url)
        8    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
        2    0.000    0.000    0.000    0.000 message.py:304(set_payload)
        2    0.000    0.000    0.003    0.001 structures.py:82(copy)
        8    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        8    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.001    0.000 models.py:498(prepare_cookies)
        2    0.000    0.000    0.000    0.000 _collections.py:57(__setitem__)
        6    0.000    0.000    0.000    0.000 timeout.py:195(connect_timeout)
        4    0.000    0.000    0.000    0.000 client.py:855(close)
        1    0.000    0.000    0.028    0.028 netrc.py:1(<module>)
        2    0.000    0.000    0.000    0.000 models.py:318(prepare_method)
        2    0.000    0.000    0.000    0.000 parse.py:137(username)
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
        2    0.000    0.000    0.063    0.032 models.py:640(apparent_encoding)
        6    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 connection.py:96(_set_socket_options)
        4    0.000    0.000    0.000    0.000 retry.py:113(__init__)
        4    0.000    0.000    0.000    0.000 message.py:121(__init__)
        1    0.000    0.000    0.020    0.020 cprof_ias_client.py:17(do_get_signature_revocation_lists)
        4    0.000    0.000    0.000    0.000 socket.py:403(close)
        6    0.000    0.000    0.000    0.000 request.py:44(__init__)
        2    0.000    0.000    0.000    0.000 models.py:464(prepare_content_length)
        2    0.000    0.000    0.003    0.001 parser.py:60(parsestr)
        2    0.000    0.000    0.008    0.004 utils.py:560(get_environ_proxies)
        2    0.000    0.000    0.000    0.000 adapters.py:164(cert_verify)
      2/1    0.000    0.000    0.061    0.061 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 models.py:273(__init__)
        4    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 enum.py:459(__new__)
        2    0.000    0.000    0.000    0.000 models.py:476(prepare_auth)
        4    0.000    0.000    0.000    0.000 response.py:131(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.005    0.002 client.py:1104(request)
        2    0.000    0.000    0.000    0.000 socket.py:638(close)
        6    0.000    0.000    0.000    0.000 cookiejar.py:46(_debug)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
        2    0.000    0.000    0.000    0.000 client.py:405(close)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 mbcharsetprober.py:30(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:203(iterencode)
        4    0.000    0.000    0.000    0.000 universaldetector.py:52(reset)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.002    0.001 client.py:1089(endheaders)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1275(_cookie_attrs)
        5    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {function HTTPResponse.close at 0x7f80b7c03598}
        5    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
        2    0.000    0.000    0.000    0.000 client.py:417(flush)
        1    0.000    0.000    0.000    0.000 encoder.py:181(encode)
        1    0.000    0.000    0.020    0.020 api.py:56(get)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 cookies.py:102(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
        2    0.000    0.000    0.000    0.000 client.py:400(_close_conn)
        2    0.000    0.000    0.000    0.000 __init__.py:1269(info)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 timeout.py:14(current_time)
        2    0.000    0.000    0.000    0.000 timeout.py:171(start_connect)
        2    0.000    0.000    0.000    0.000 sessions.py:91(resolve_redirects)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 response.py:152(release_conn)
        2    0.000    0.000    0.004    0.002 request.py:2430(proxy_bypass_environment)
        2    0.000    0.000    0.000    0.000 retry.py:193(is_forced_retry)
        2    0.000    0.000    0.000    0.000 models.py:628(is_redirect)
        2    0.000    0.000    0.000    0.000 connectionpool.py:68(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:393(_decref_socketios)
        2    0.000    0.000    0.000    0.000 feedparser.py:209(_pop_message)
        2    0.000    0.000    0.000    0.000 sessions.py:597(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:271(loads)
        4    0.000    0.000    0.000    0.000 adapters.py:48(__init__)
        2    0.000    0.000    0.000    0.000 timeout.py:140(from_float)
        2    0.000    0.000    0.000    0.000 utils.py:334(get_encoding_from_headers)
        4    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        1    0.000    0.000    0.082    0.082 api.py:96(post)
        2    0.000    0.000    0.002    0.001 poolmanager.py:66(<lambda>)
        2    0.000    0.000    0.000    0.000 models.py:518(prepare_hooks)
        4    0.000    0.000    0.000    0.000 {method 'update' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.000    0.000 cookiejar.py:1268(_cookies_for_request)
        2    0.000    0.000    0.000    0.000 hooks.py:23(dispatch_hook)
        2    0.000    0.000    0.000    0.000 message.py:182(is_multipart)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        4    0.000    0.000    0.000    0.000 client.py:427(isclosed)
        2    0.000    0.000    0.000    0.000 connectionpool.py:253(_put_conn)
        2    0.000    0.000    0.000    0.000 sessions.py:74(merge_hooks)
        2    0.000    0.000    0.002    0.001 sessions.py:349(__exit__)
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        2    0.000    0.000    0.000    0.000 parse.py:168(_userinfo)
        2    0.000    0.000    0.000    0.000 socket.py:549(__init__)
        2    0.000    0.000    0.000    0.000 response.py:390(closed)
        2    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
        1    0.000    0.000    0.000    0.000 utils.py:634(guess_json_utf)
        4    0.000    0.000    0.000    0.000 {method 'tobytes' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:148(<lambda>)
        4    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 parse.py:252(geturl)
        2    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 _collections_abc.py:634(__len__)
        2    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
        2    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 hebrewprober.py:155(HebrewProber)
        2    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
        2    0.000    0.000    0.000    0.000 parse.py:527(unquote)
        2    0.000    0.000    0.000    0.000 timeout.py:213(read_timeout)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:343(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 client.py:149(_encode)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 utils.py:580(default_user_agent)
        2    0.000    0.000    0.000    0.000 parser.py:18(__init__)
        2    0.000    0.000    0.000    0.000 client.py:792(_get_hostport)
        1    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
        2    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:182(dumps)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 response.py:186(_decode)
        2    0.000    0.000    0.000    0.000 connectionpool.py:283(_validate_conn)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:340(__subclasshook__)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 models.py:645(iter_content)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:32(CodingStateMachine)
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 utils.py:372(iter_slices)
        1    0.000    0.000    0.000    0.000 compat.py:21(<module>)
        1    0.000    0.000    0.000    0.000 mbcsgroupprober.py:41(MBCSGroupProber)
        1    0.000    0.000    0.000    0.000 langcyrillicmodel.py:31(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 sre_parse.py:278(seek)
        2    0.000    0.000    0.000    0.000 {function HTTPResponse.flush at 0x7f80b7c03620}
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:44(SingleByteCharSetProber)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        2    0.000    0.000    0.000    0.000 queue.py:236(_init)
        2    0.000    0.000    0.000    0.000 universaldetector.py:134(close)
        1    0.000    0.000    0.000    0.000 shlex.py:18(shlex)
        2    0.000    0.000    0.000    0.000 cookies.py:79(get_new_headers)
        1    0.000    0.000    0.000    0.000 client.py:1108(_set_content_length)
        1    0.000    0.000    0.000    0.000 euctwprober.py:33(EUCTWProber)
        1    0.000    0.000    0.000    0.000 sre_parse.py:90(closegroup)
        2    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 eucjpprober.py:37(EUCJPProber)
        2    0.000    0.000    0.000    0.000 models.py:171(<genexpr>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:130(EUCKRDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 sjisprober.py:37(SJISProber)
        1    0.000    0.000    0.000    0.000 netrc.py:22(netrc)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:35(<module>)
        2    0.000    0.000    0.000    0.000 sessions.py:346(__enter__)
        2    0.000    0.000    0.000    0.000 adapters.py:294(add_headers)
        1    0.000    0.000    0.000    0.000 netrc.py:10(NetrcParseError)
        1    0.000    0.000    0.000    0.000 charsetprober.py:33(CharSetProber)
        1    0.000    0.000    0.000    0.000 universaldetector.py:44(UniversalDetector)
        1    0.000    0.000    0.000    0.000 chardistribution.py:46(CharDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 langhungarianmodel.py:35(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:34(Big5Prober)
        1    0.000    0.000    0.000    0.000 mbcharsetprober.py:35(MultiByteCharSetProber)
        1    0.000    0.000    0.000    0.000 jpcntx.py:123(JapaneseContextAnalysis)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:38(<module>)
        1    0.000    0.000    0.000    0.000 latin1prober.py:97(Latin1Prober)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:33(GB2312Prober)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:37(<module>)
        1    0.000    0.000    0.000    0.000 utf8prober.py:36(UTF8Prober)
        1    0.000    0.000    0.000    0.000 chardistribution.py:168(Big5DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:33(CharSetGroupProber)
        1    0.000    0.000    0.000    0.000 chardistribution.py:111(EUCTWDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 jpcntx.py:206(EUCJPContextAnalysis)
        1    0.000    0.000    0.000    0.000 jpcntx.py:179(SJISContextAnalysis)
        1    0.000    0.000    0.000    0.000 euckrprober.py:34(EUCKRProber)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:38(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:29(<module>)
        1    0.000    0.000    0.000    0.000 escprober.py:36(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 cp949prober.py:34(CP949Prober)
        1    0.000    0.000    0.000    0.000 chardistribution.py:190(SJISDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 jisfreq.py:44(<module>)
        1    0.000    0.000    0.000    0.000 euckrfreq.py:41(<module>)
        1    0.000    0.000    0.000    0.000 sbcsgroupprober.py:42(SBCSGroupProber)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 chardistribution.py:215(EUCJPDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 gb2312freq.py:42(<module>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:149(GB2312DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 euctwfreq.py:44(<module>)
        1    0.000    0.000    0.000    0.000 {method 'count' of 'bytes' objects}
