====== cProfile: ./utility/ias_client/cprof_ias_client.py ======

127.0.0.1 - - [03/May/2018 07:27:30] "POST /attestation/sgx/v2/report HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2018 07:27:30] "GET /attestation/sgx/v2/sigrl/gid HTTP/1.1" 200 -
         13991 function calls (13588 primitive calls) in 0.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       44    0.000    0.000    0.001    0.000 threading.py:332(notify)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
     38/2    0.000    0.000    0.087    0.044 {built-in method builtins.exec}
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
       98    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    51/13    0.000    0.000    0.006    0.000 {built-in method builtins.issubclass}
       41    0.000    0.000    0.001    0.000 structures.py:48(__setitem__)
       46    0.000    0.000    0.001    0.000 threading.py:237(__enter__)
       46    0.000    0.000    0.001    0.000 threading.py:240(__exit__)
       46    0.000    0.000    0.001    0.000 queue.py:239(_qsize)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
       44    0.000    0.000    0.001    0.000 threading.py:252(_is_owned)
       38    0.000    0.000    0.065    0.002 <frozen importlib._bootstrap_external>:1133(find_spec)
       78    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       41    0.000    0.000    0.001    0.000 structures.py:53(__getitem__)
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       76    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      4/2    0.000    0.000    0.001    0.001 sre_parse.py:491(_parse)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
       76    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
       14    0.000    0.000    0.001    0.000 utils.py:173(to_key_val_list)
        4    0.000    0.000    0.002    0.000 feedparser.py:217(_parsegen)
       14    0.000    0.000    0.004    0.000 sessions.py:42(merge_setting)
        2    0.000    0.000    0.003    0.001 client.py:194(parse_headers)
       54    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
        2    0.000    0.000    0.005    0.002 client.py:1132(_send_request)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       60    0.000    0.000    0.000    0.000 parse.py:89(_noop)
        2    0.000    0.000    0.011    0.005 connectionpool.py:322(_make_request)
       48    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       48    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       38    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       48    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        3    0.000    0.000    0.000    0.000 sre_compile.py:248(_optimize_charset)
       48    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       49    0.000    0.000    0.000    0.000 _collections_abc.py:308(__subclasshook__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      5/2    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
       46    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
       11    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       42    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        6    0.000    0.000    0.001    0.000 cookies.py:448(cookiejar_from_dict)
       22    0.000    0.000    0.000    0.000 queue.py:245(_get)
       46    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        2    0.000    0.000    0.025    0.012 sessions.py:542(send)
       36    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       22    0.000    0.000    0.000    0.000 <string>:12(__new__)
       19    0.000    0.000    0.001    0.000 _collections_abc.py:592(get)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       44    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       38    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       46    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
        4    0.000    0.000    0.001    0.000 posixpath.py:221(expanduser)
        2    0.000    0.000    0.002    0.001 connectionpool.py:162(__init__)
       37    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       22    0.000    0.000    0.000    0.000 queue.py:242(_put)
        2    0.000    0.000    0.001    0.001 parse.py:407(urljoin)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        4    0.000    0.000    0.002    0.000 response.py:263(read)
        2    0.000    0.000    0.064    0.032 sessions.py:352(prepare_request)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
        4    0.000    0.000    0.000    0.000 idna.py:147(encode)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        8    0.000    0.000    0.000    0.000 timeout.py:96(__init__)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1200(vals_sorted_by_key)
        8    0.000    0.000    0.000    0.000 message.py:498(get_all)
        5    0.000    0.000    0.000    0.000 _policybase.py:289(header_source_parse)
        2    0.000    0.000    0.005    0.003 client.py:290(begin)
       14    0.000    0.000    0.001    0.000 _collections_abc.py:599(__contains__)
       14    0.000    0.000    0.000    0.000 client.py:917(_output)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:611(items)
        2    0.000    0.000    0.001    0.000 sre_compile.py:412(_compile_info)
        2    0.000    0.000    0.016    0.008 connectionpool.py:437(urlopen)
        4    0.000    0.000    0.001    0.000 cookiejar.py:1657(extract_cookies)
       29    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.001    0.000 message.py:565(get_content_type)
       30    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       12    0.000    0.000    0.009    0.001 structures.py:42(__init__)
        1    0.000    0.000    0.034    0.034 mbcsgroupprober.py:30(<module>)
      3/2    0.000    0.000    0.001    0.001 sre_parse.py:429(_parse_sub)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1239(__init__)
       31    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa3ee00}
        1    0.000    0.000    0.014    0.014 sbcsgroupprober.py:29(<module>)
       34    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 _collections.py:150(__getitem__)
        4    0.000    0.000    0.000    0.000 url.py:123(parse_url)
       15    0.000    0.000    0.000    0.000 sre_parse.py:247(get)
        6    0.000    0.000    0.001    0.000 socket.py:561(readinto)
        2    0.000    0.000    0.000    0.000 client.py:1134(<listcomp>)
        2    0.000    0.000    0.000    0.000 feedparser.py:470(_parse_headers)
       24    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.002    0.001 connectionpool.py:402(close)
       24    0.000    0.000    0.000    0.000 timeout.py:106(_validate_timeout)
        2    0.000    0.000    0.001    0.001 models.py:324(prepare_url)
       10    0.000    0.000    0.000    0.000 models.py:405(<genexpr>)
        1    0.000    0.000    0.009    0.009 chardistribution.py:28(<module>)
       18    0.000    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
        2    0.000    0.000    0.022    0.011 adapters.py:329(send)
        2    0.000    0.000    0.001    0.001 sessions.py:291(__init__)
       11    0.000    0.000    0.000    0.000 feedparser.py:75(readline)
        6    0.000    0.000    0.000    0.000 message.py:589(get_content_maintype)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1204(deepvalues)
      6/3    0.000    0.000    0.000    0.000 sre_parse.py:167(getwidth)
       14    0.000    0.000    0.000    0.000 sre_parse.py:157(__getitem__)
       22    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       10    0.000    0.000    0.000    0.000 structures.py:59(__iter__)
        3    0.000    0.000    0.001    0.000 sre_compile.py:221(_compile_charset)
        2    0.000    0.000    0.000    0.000 client.py:938(putrequest)
        6    0.000    0.000    0.001    0.000 parse.py:377(urlunparse)
        9    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
        2    0.000    0.000    0.000    0.000 response.py:97(__init__)
        4    0.000    0.000    0.001    0.000 cookies.py:116(extract_cookies_to_jar)
        2    0.000    0.000    0.002    0.001 adapters.py:206(build_response)
        2    0.000    0.000    0.054    0.027 utils.py:91(get_netrc_auth)
        2    0.000    0.000    0.000    0.000 socket.py:399(_real_close)
        6    0.000    0.000    0.000    0.000 hooks.py:17(default_hooks)
        2    0.000    0.000    0.001    0.000 connection.py:49(create_connection)
        4    0.000    0.000    0.000    0.000 cookies.py:468(merge_cookies)
        9    0.000    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
       18    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1334(add_cookie_header)
        4    0.000    0.000    0.001    0.000 utils.py:567(select_proxy)
        4    0.000    0.000    0.000    0.000 adapters.py:87(__init__)
        2    0.000    0.000    0.000    0.000 _collections.py:231(extend)
        5    0.000    0.000    0.000    0.000 _policybase.py:277(_sanitize_header)
       10    0.000    0.000    0.000    0.000 {built-in method time.time}
       16    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.003    0.001 parser.py:42(parse)
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 parse.py:388(urlunsplit)
        2    0.000    0.000    0.003    0.001 sre_compile.py:531(compile)
        2    0.000    0.000    0.009    0.004 sessions.py:612(merge_environment_settings)
        1    0.000    0.000    0.060    0.060 universaldetector.py:29(<module>)
       12    0.000    0.000    0.000    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.098    0.049 sessions.py:392(request)
        4    0.000    0.000    0.001    0.000 client.py:437(read)
        2    0.000    0.000    0.000    0.000 socket.py:208(makefile)
        4    0.000    0.000    0.002    0.001 _collections.py:86(clear)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:28(<module>)
       11    0.000    0.000    0.002    0.000 models.py:723(content)
